Company number,Total number of officers,Number of active officers,Number of inactive officers,Number of non-persons officers,Total number of person with significant control,Number of active persons with significant control,Number of ceased persons with significant control,Number of non-persons with significant control,Debt/Equity,Good/Bad
00000118,22,9,13,0,1,1,0,1,0.1,1
00000133,33,4,29,0,1,1,0,1,0.1,1
00000587,17,0,17,0,0,0,0,0,0.1,1
00000899,18,0,18,0,0,0,0,0,0.1,1
00001122,18,3,15,0,1,1,0,1,0.1,1
00001125,36,3,33,0,0,0,0,0,0.1,1
00001955,8,7,1,0,2,2,0,0,0.7718608169440242,0
00002065,103,16,87,0,1,1,0,1,0.1,1
00037101,118,4,114,0,0,0,0,0,0.1,1
00002119,13,4,9,0,0,0,0,0,0.1,1
00037822,54,15,39,0,0,0,0,0,0.1,1
00002694,26,3,23,0,1,1,0,1,0.1,1
00038252,106,8,98,0,1,1,0,0,0.1,0
00002729,29,4,25,0,1,1,0,1,0.1,1
00038357,15,6,9,0,2,1,1,0,29.275407292474785,0
00002854,23,0,23,0,1,1,0,2,0.1,1
06073803,6,0,6,0,0,0,0,0,0.1,1
00038597,0,0,0,0,0,0,0,0,0.1,0
00002877,30,3,27,0,1,1,0,1,0.1,1
06073955,5,2,3,0,1,1,0,0,4.548652135533374,1
00038769,136,12,124,0,0,0,0,0,0.1,1
00003002,58,6,52,0,1,1,0,1,0.1,1
06073962,26,5,21,0,0,0,0,0,0.1,1
00038839,10,3,7,0,1,1,0,0,16.73551263001486,0
00003543,37,1,36,0,1,1,0,1,0.1,1
06073971,6,1,5,0,1,1,0,0,8.589141665911356,1
00039100,22,4,18,0,3,3,0,0,0.047184669904186904,0
00004273,21,3,18,0,1,1,0,1,0.1,1
06074004,4,2,2,0,2,2,0,0,-1.3323699421965318,1
00039345,13,2,11,0,1,1,0,1,0.1,1
03883677,15,5,10,0,2,2,0,0,0.0,0
00004302,177,27,150,0,0,0,0,0,0.1,1
06074479,8,5,3,0,0,0,0,0,0.0,1
00039494,25,5,20,0,1,1,0,1,0.1,1
03883776,7,5,2,0,1,1,0,0,1233.14,1
00004466,109,9,100,0,0,0,0,0,0.1,1
06074667,4,1,3,0,2,2,0,0,1.51748158070998,1
03883907,3,3,0,0,3,1,2,0,0.7708260105448155,1
00039625,94,10,84,0,0,0,0,0,0.1,1
06074684,3,1,2,0,1,1,0,0,-3.116575591985428,0
00039811,17,7,10,0,0,0,0,0,0.1,1
03884383,36,3,33,0,1,1,0,0,0.0,1
00004474,3,0,3,0,0,0,0,0,0.012088091504757915,1
00040004,80,15,65,0,0,0,0,0,0.1,1
06074686,7,0,7,0,0,0,0,0,0.0,1
03884659,36,10,26,0,0,0,0,0,0.1,0
00005017,124,22,102,0,0,0,0,0,20.012649332396347,1
00040056,103,27,76,0,0,0,0,0,0.08025732337736932,1
03884685,79,13,66,0,0,0,0,0,0.1,1
06075060,6,3,3,0,2,2,0,0,8.017158047365877,1
00005034,105,19,86,0,0,0,0,0,0.1,1
00040088,29,5,24,0,0,0,0,0,0.1,1
03884737,5,3,2,0,1,1,0,0,3170252.0,0
06075780,6,2,4,0,1,1,0,0,142.30233667143537,1
00005193,47,8,39,0,0,0,0,0,0.2844981325078233,0
00040149,27,3,24,0,1,1,0,1,0.1,1
03884759,5,2,3,0,0,0,0,0,0.1,1
