company_number,debt,equity
10080673,0.0,100.0
05411198,9599.0,128875.0
03140878,66243.0,15814.0
SC105212,0.0,3.0
03829615,0.0,9701014.0
SC422365,26850.0,217342.0
10884019,0.0,100.0
02829834,0.0,2.0
07806475,0.0,100000.0
06868926,0.0,2.0
06698816,0.0,2.0
08471222,0.0,10.0
03199618,0.0,1.0
10865936,2683.0,1.0
07691585,0.0,1.0
06507837,3243.0,40345.0
07369869,64.0,63101.0
09523744,0.0,1.0
07788403,31639.0,666.0
07403661,241192.0,972851.0
07434518,0.0,0.0
05780883,48013.0,71111.0
05003004,0.0,6.0
05109482,1295.0,34991.0
11411759,4780.0,1.0
06072929,11038.0,28012.0
08169784,14360.0,15278.0
08944677,0.0,1.0
08312124,0.0,13049.0
06457834,251611.0,149999.0
10741628,8063.0,100.0
NI010905,1000.0,200000.0
02218590,0.0,1461.0
10764278,0.0,0.0
09028455,-30581.0,41906.0
08029715,694.0,44741.0
04212171,171356.0,-120428.0
07817878,31.0,437.0
06290649,13831.0,85620.0
03860091,50129.0,1995299.0
02905798,140605.0,18301.0
03964024,0.0,0.0
07557846,0.0,5.0
03560737,13.0,3315.0
09274166,284111.0,100.0
09031838,6717809.0,-354804.0
06163728,0.0,1.0
09867757,0.0,-28112.0
11292328,16959.0,173204.0
08905407,20522.0,1.0
04149198,20754.0,46738.0
08527316,69889.0,0.0
04867812,804.0,19265.0
02958741,1971.0,210.0
02125883,6244.0,6.0
05247569,0.0,0.0
00631705,27603.0,621704.0
09355378,0.0,1.0
09726852,0.0,1.0
SC090459,25444.0,45000.0
10534166,0.0,3800.0
SC271617,185832.0,2.0
05671160,0.0,3.0
SC543197,7959.0,772.0
SC314330,0.0,1.0
09129871,0.0,1.0
07986870,2578.0,222432.0
04063414,0.0,100.0
01459052,0.0,2.0
03755668,48321.0,3385078.0
01867687,0.0,800.0
08949994,0.0,1.0
07886263,3471204.0,-3391602.0
07889349,0.0,74.0
08077071,48501.0,159760.0
06077024,49438.0,27107.0
00891070,12.0,62184.0
04614285,7355.0,551151.0
09427358,-401886.0,0.0
07982759,176.0,1828010.0
03713679,360185.0,25000.0
01981540,2310117.0,920.0
03822130,120.0,6849.0
06452630,14893.0,104339.0
09286912,15528973.0,-100667.0
04494571,66790.0,100.0
00166772,175163.0,312615.0
SC185887,0.0,18264.0
07510349,40323.0,29424.0
04364915,0.0,1.0
08443465,212913.0,1000.0
06357609,14049.0,26945.0
05633228,188283.0,1005.0
06495115,10000.0,43697.0
10413366,8139.0,3766.0
08383620,38838.0,1.0
08245482,18367.0,102.0
03789392,952660.0,57688.0
09042300,0.0,1.0
10096025,3227.0,2.0
05797992,79298.0,1.0
10327931,3687.0,7661.0
10899483,1527.0,2201.0
03347241,18566.0,28828.0
04122078,0.0,14.0
03275872,23783.0,32697.0
04523013,0.0,0.0
10261928,0.0,1.0
05603956,0.0,1.0
07724442,80440.0,-14582.0
04653899,1408.0,60.0
04920552,60801.0,1400.0
09814246,-2458.0,100.0
07440858,0.0,1.0
02449056,7941.0,100.0
00544405,420.0,136528.0
04479153,4644491.0,30050.0
10347568,38.0,12898.0
08170276,5430.0,5430.0
05333733,4955.0,-339.0
07007649,0.0,2.0
NI055028,0.0,58.0
07879972,0.0,1.0
09524466,61712.0,100.0
05319962,0.0,1.0
00461764,0.0,0.0
06061759,544727.0,82693.0
04830824,0.0,1.0
05729301,0.0,1.0
07818144,0.0,10.0
08936381,33872.0,1.0
04831130,51741.0,21064.0
10765539,0.0,0.0
07023564,9493.0,1.0
01645294,7143.0,153.0
07104632,0.0,3.0
04868329,0.0,9.0
04846353,1982.0,100.0
09626221,0.0,100.0
04176039,17237.0,645352.0
11276996,11540.0,2.0
07561570,26514.0,6545.0
03554364,12098.0,5723.0
10523637,64.0,269826.0
02906527,0.0,0.0
06201302,0.0,100.0
00683948,0.0,0.0
08822992,955.0,23608.0
08518636,119632.0,1.0
01296528,54285.0,155150.0
09062267,240655.0,119678.0
06214446,10001.0,3636.0
09127240,2770.0,-2569.0
02508303,0.0,585.0
03951117,0.0,1.0
05772965,918.0,23640.0
06376928,0.0,1.0
08962271,493285.0,87493.0
09461433,2609348.0,1050.0
03757011,8038.0,7995.0
04857238,37387.0,151557.0
08912116,181941.0,1.0
06841812,12514.0,100.0
04499150,18577.0,-18173.0
01773009,0.0,1.0
01254429,0.0,-463.0
07948009,0.0,1.0
09033569,5795.0,8963.0
02857294,91219.0,120693.0
09426133,3897.0,65012.0
05754977,0.0,3.0
08919784,7010.0,6901.0
09105486,35318.0,1864.0
04660482,297296.0,110.0
09406304,0.0,2.0
04616498,585.0,1470.0
SO303886,0.0,0.0
06370048,0.0,1.0
07988255,53183.0,103313.0
04628365,6319.0,43348.0
04477725,5229.0,-42010.0
OC349914,62895.0,0.0
04361870,23465.0,0.0
03024798,12974.0,37987.0
05998669,2339.0,225.0
04366724,4103.0,500.0
08548079,21293.0,83.0
03901858,0.0,16517.0
04971228,0.0,100.0
02415637,0.0,14.0
08211563,28185.0,2.0
00129430,6244.0,293.0
00065872,26821.0,-5921.0
11510353,0.0,0.0
09735528,15258.0,100.0
02353634,30690.0,33297.0
10085206,0.0,1.0
05818308,338888.0,350182.0
SC130930,103559.0,462860.0
03208864,0.0,2.0
10336298,10510453.0,100.0
06843338,63407.0,47507.0
00797472,68771.0,1000.0
01074891,0.0,100.0
10911041,34820.0,100.0
05722771,454366.0,-454366.0
08249160,39827.0,2.0
04654191,100243.0,165014.0
06029296,38939.0,1.0
09086882,0.0,2.0
02179933,634.0,6.0
03587807,509.0,100.0
08171223,0.0,1.0
SC302938,188340.0,100.0
03252408,0.0,0.0
09436524,0.0,1.0
10353613,31578.0,2427.0
08682766,177915.0,100.0
09090502,0.0,1.0
04287042,39974.0,24932.0
05108266,0.0,0.0
00465355,0.0,2225.0
04520425,21064.0,50.0
11021074,3012.0,100.0
05990314,17778.0,1.0
NI641574,169630.0,100.0
02645285,5247.0,618544.0
08284349,130552.0,100.0
07219102,19464.0,-7585.0
05019104,5566.0,149510.0
05248736,0.0,100.0
10456014,5000.0,534.0
07118464,51192.0,618.0
05398483,950.0,59670.0
01855196,22190.0,36835.0
07559722,0.0,11.0
NI631531,0.0,1245.0
06286767,241107.0,200.0
08115967,81857.0,6511.0
05410415,0.0,3.0
08441243,359830.0,100.0
10729192,21273.0,4357.0
SC272858,0.0,2.0
08435555,9090.0,114.0
09281030,0.0,1.0
04110701,7776.0,880.0
08522250,52081.0,7085.0
07204027,125510.0,100.0
06426933,0.0,2367.0
03439448,0.0,1.0
06206967,708758.0,1.0
09461309,6334.0,5500.0
03996970,13921.0,1000.0
04233175,4459.0,6973.0
09963935,0.0,0.0
04836258,104703.0,51906.0
05332012,0.0,8.0
08915084,221958.0,9595455.0
03822618,0.0,0.0
05265562,1401.0,430.0
06559203,2333.0,1.0
02882954,0.0,1.0
00840520,211741.0,103798.0
09037291,0.0,100.0
05003539,18381.0,72387.0
04064073,324029.0,68994.0
07363954,877.0,1.0
01251156,34894.0,49539.0
04690183,18591.0,11073.0
02697232,121888.0,90437.0
03022317,0.0,79676.0
05920587,11963.0,-10554.0
SC397530,0.0,1.0
04944887,14053.0,2758.0
04499296,1797070.0,50000.0
10612790,62604.0,36455.0
08464800,38556.0,1.0
02419098,16952.0,55026.0
06452409,0.0,126.0
03431997,19511.0,164002.0
03897231,351425.0,257703.0
09409327,16849.0,187003.0
02849172,0.0,1074.0
04938801,0.0,100.0
08246544,11594.0,-8608.0
03173933,206553.0,200.0
08965488,129083.0,100000.0
05810921,504.0,12574.0
10328907,6487.0,5521.0
07832394,21285.0,52449.0
03379032,3895.0,10000.0
06028364,0.0,1.0
04664347,79224.0,33208.0
09362642,314.0,139.0
05843652,891.0,9308.0
06270014,8988.0,0.0
08171795,0.0,1.0
SC304401,30170.0,26635.0
09382385,36140.0,100.0
02673334,238135.0,1002.0
08530228,0.0,100.0
03621571,264.0,83461.0
08758203,5308571.0,193195.0
02816693,61500.0,25.0
06847468,95385.0,100.0
05000956,1007.0,5548.0
03107229,13990.0,135894.0
07452872,0.0,6947.0
09981643,12926.0,1000.0
SC185641,257784.0,2.0
09302743,666.0,1.0
09043277,273711.0,100.0
03721232,0.0,100.0
01203607,188290.0,2000.0
08310843,24600.0,-12654.0
02017656,0.0,2.0
05697961,9390.0,15746.0
05320237,1909.0,119447.0
08685505,79686.0,100.0
10081902,841.0,100.0
05721821,32500.0,2000.0
08023894,21311.0,239.0
05914930,0.0,2.0
01645397,0.0,5250.0
00432447,243215.0,1500.0
SC163225,97104.0,4958.0
11022662,51605.0,2.0
SC530678,0.0,-32002.0
09626660,0.0,0.0
08920125,5235.0,1000.0
09079901,1050.0,37212.0
02808170,879952.0,5400000.0
01820204,0.0,0.0
08058861,19204.0,100.0
09510332,175735.0,20.0
NI603270,116948.0,100.0
04638953,98552.0,5.0
04832530,0.0,43.0
02595018,36613.0,186499.0
08817057,165999.0,40563.0
07173304,4021.0,92196.0
06154186,0.0,1000.0
05344996,41445.0,100.0
SC272022,78434.0,100.0
09484410,11.0,-11.0
SC380596,120.0,3967.0
08328145,25102.0,2.0
05328145,4207636.0,100.0
08962442,0.0,100.0
06370512,3779.0,100.0
03821546,1793671.0,2632.0
07208351,68193.0,100.0
03686837,786.0,1000.0
