Company number,Total number of officers,Number of active officers,Number of inactive officers,Number of non-persons officers,Total number of person with significant control,Number of active persons with significant control,Number of ceased persons with significant control,Number of non-persons with significant control,Good/Bad
00001955,8,7,1,0,2,2,0,0,0
00011717,28,9,19,0,0,0,0,0,0
00012886,22,4,18,0,1,1,0,0,0
00013101,25,0,25,0,0,0,0,0,1
00014172,47,7,40,0,1,1,0,1,1
00014283,5,0,5,0,0,0,0,0,0
00017877,111,4,107,0,1,1,0,0,0
00019739,43,4,39,0,1,1,0,1,1
00021401,136,0,136,0,0,0,0,0,1
00023273,3,2,1,0,1,1,0,0,0
00024084,103,20,83,0,0,0,0,0,1
00024499,23,2,21,0,1,1,0,1,1
00024511,43,9,34,0,0,0,0,0,1
00024722,36,5,31,0,1,1,0,1,1
00025088,72,7,65,0,1,1,0,1,1
00025090,44,2,42,0,1,1,0,1,1
00025579,18,5,13,0,1,1,0,1,1
00025932,130,12,118,0,1,1,0,1,1
00026306,63,6,57,0,2,2,0,2,1
00029356,28,11,17,0,0,0,0,0,0
00030129,41,0,41,0,0,0,0,0,1
00030705,15,3,12,0,1,1,0,1,1
00031114,22,9,13,0,0,0,0,0,1
00031438,24,9,15,0,8,8,0,0,0
00031799,24,7,17,0,0,0,0,0,0
00032965,38,6,32,0,0,0,0,0,1
00033881,11,5,6,0,1,1,0,0,0
00033886,28,5,23,0,1,1,0,1,1
00035025,20,5,15,0,1,1,0,1,1
00035990,58,4,54,0,1,1,0,1,1
00036137,23,3,20,0,0,0,0,0,0
00036443,20,5,15,0,1,1,0,1,1
00038252,106,8,98,0,1,1,0,0,0
00038357,15,6,9,0,2,1,1,0,0
00039811,17,7,10,0,0,0,0,0,1
00040901,43,2,41,0,1,1,0,1,1
00040987,20,6,14,0,0,0,0,0,0
00043649,8,4,4,0,1,1,0,1,0
00043885,9,5,4,0,0,0,0,0,0
00045690,39,3,36,0,1,1,0,1,1
00046833,91,8,83,0,0,0,0,0,0
00048760,30,5,25,0,2,1,1,2,1
00049714,13,4,9,0,1,1,0,1,0
00050484,44,4,40,0,2,2,0,2,1
00052665,47,3,44,0,0,0,0,0,1
00053171,31,7,24,0,0,0,0,0,1
00053220,25,2,23,0,1,1,0,1,1
00053237,40,4,36,0,1,1,0,1,1
00053317,37,4,33,0,1,1,0,1,1
00053723,51,13,38,0,0,0,0,0,1
00055603,49,4,45,0,1,1,0,1,1
00057024,36,5,31,0,1,1,0,1,1
00057395,15,0,15,0,0,0,0,0,0
00057545,39,2,37,0,1,1,0,1,1
00057968,35,3,32,0,1,1,0,1,1
00058093,64,15,49,0,2,2,0,2,1
00058207,36,0,36,0,0,0,0,0,1
00059713,18,4,14,0,0,0,0,0,1
00061140,10,5,5,0,1,1,0,0,0
00061407,31,3,28,0,1,1,0,1,1
00062065,44,4,40,0,1,1,0,1,1
00062367,17,7,10,0,1,1,0,1,0
00062423,24,5,19,0,1,1,0,1,1
00063932,17,3,14,0,3,3,0,0,0
00064884,28,4,24,0,1,1,0,1,1
00065192,10,6,4,0,0,0,0,0,0
00066045,32,5,27,0,1,1,0,1,1
00069666,36,5,31,0,1,1,0,1,1
00070527,312,16,296,0,0,0,0,0,1
00074416,20,3,17,0,0,0,0,0,1
00075219,156,9,147,0,0,0,0,0,0
00075831,14,0,14,0,1,1,0,1,1
00076676,22,0,22,0,0,0,0,0,0
00077922,18,5,13,0,1,1,0,1,1
00078931,44,10,34,0,1,1,0,0,1
00079308,40,4,36,0,1,1,0,1,1
00079310,12,2,10,0,1,1,0,1,0
00081035,39,7,32,0,0,0,0,0,0
00081177,98,5,93,0,0,0,0,0,0
00083575,18,9,9,0,0,0,0,0,0
00083618,29,6,23,0,0,0,0,0,0
00086641,205,29,176,0,1,1,0,0,1
00087634,63,4,59,0,0,0,0,0,0
00087911,33,3,30,0,1,1,0,1,1
00087997,25,5,20,0,1,1,0,1,1
00088380,29,5,24,0,2,1,1,2,1
00091106,30,5,25,0,1,1,0,1,1
00093447,66,8,58,0,1,1,0,1,1
00096093,107,4,103,0,1,1,0,0,1
00096263,34,5,29,0,1,1,0,1,1
00097122,64,7,57,0,0,0,0,0,0
00098220,29,4,25,0,1,1,0,1,1
00099998,37,13,24,0,0,0,0,0,0
